Lon   Lat   clay silt sand orgC CN pH cellfraction 
81.75 44.75 0.170 0.270 0.560 0.004 9.000 8.000 0.665 
-61.75 -25.25 0.320 0.400 0.280 0.014 10.000 7.400 0.600 
131.75 54.25 0.270 0.300 0.430 0.014 11.000 7.600 0.416 
-72.75 52.75 0.060 0.200 0.740 0.030 17.000 4.500 1.000 
72.75 24.75 0.230 0.280 0.490 0.007 10.000 8.000 0.632 
-71.75 -0.25 0.350 0.110 0.540 0.010 13.000 4.500 0.294 
-44.25 -8.75 0.060 0.050 0.890 0.004 13.000 5.600 0.522 
-72.75 71.25 0.080 0.370 0.550 0.020 11.000 5.900 0.601 
84.75 48.75 0.270 0.300 0.430 0.014 11.000 7.600 0.508 
-88.25 34.75 0.220 0.190 0.590 0.008 11.000 5.100 0.632 
6.25 27.25 0.170 0.270 0.560 0.004 9.000 8.000 0.603 
22.75 13.25 0.130 0.190 0.680 0.006 11.000 6.500 0.447 
77.75 49.75 0.230 0.400 0.370 0.013 9.000 7.200 0.561 
16.25 19.25 0.270 0.300 0.430 0.014 11.000 7.600 0.389 
9.25 40.25 0.240 0.310 0.450 0.010 11.000 6.600 0.600 
-5.25 56.25 0.410 0.330 0.260 0.307 21.000 4.400 0.501 
-65.75 7.25 0.390 0.170 0.440 0.013 12.000 4.900 0.474 
-48.25 -17.25 0.390 0.170 0.440 0.013 12.000 4.900 0.848 
-124.25 49.25 0.060 0.200 0.740 0.030 17.000 4.500 0.642 
106.25 17.75 0.220 0.190 0.590 0.008 11.000 5.100 0.385 
13.75 49.75 0.230 0.270 0.500 0.008 11.000 6.200 0.524 
21.75 8.25 0.060 0.050 0.890 0.004 13.000 5.600 0.501 
1.25 19.25 0.170 0.270 0.560 0.004 9.000 8.000 0.600 
13.75 29.75 0.180 0.280 0.540 0.004 14.000 8.100 0.500 
56.75 66.75 0.210 0.610 0.180 0.353 17.000 4.800 0.391 
146.25 71.75 0.200 0.480 0.320 0.031 17.000 6.300 0.762 
70.25 32.25 0.170 0.270 0.560 0.004 9.000 8.000 0.556 
50.25 -14.75 0.390 0.170 0.440 0.013 12.000 4.900 0.370 
34.75 24.75 0.130 0.190 0.680 0.006 11.000 6.500 0.489 
113.25 63.75 0.210 0.420 0.370 0.017 14.000 5.100 0.700 
20.25 -15.25 0.060 0.050 0.890 0.004 13.000 5.600 0.420 
57.25 67.25 0.210 0.610 0.180 0.353 17.000 4.800 0.450 
97.25 42.25 0.220 0.410 0.370 0.005 9.000 7.900 0.390 
37.25 66.75 0.410 0.330 0.260 0.307 21.000 4.400 0.800 
135.75 46.25 0.270 0.300 0.430 0.014 11.000 7.600 0.486 
30.25 68.75 0.410 0.330 0.260 0.307 21.000 4.400 0.435 
-130.75 64.75 0.240 0.310 0.450 0.010 11.000 6.600 0.600 
175.25 -39.75 0.240 0.330 0.430 0.014 12.000 5.100 0.522 
82.75 29.25 0.270 0.300 0.430 0.014 11.000 7.600 0.381 
114.75 35.75 0.340 0.310 0.350 0.018 12.000 6.400 0.443 
-119.25 36.75 0.270 0.240 0.490 0.008 10.000 6.400 0.800 
60.25 59.75 0.270 0.300 0.430 0.014 11.000 7.600 0.430 
35.25 57.75 0.100 0.400 0.500 0.011 11.000 5.500 1.000 
117.75 64.75 0.210 0.420 0.370 0.017 14.000 5.100 0.700 
123.25 -22.75 0.280 0.310 0.410 0.006 11.000 7.800 0.404 
120.25 -22.25 0.210 0.210 0.580 0.005 10.000 8.000 0.336 
84.75 26.25 0.190 0.380 0.430 0.006 10.000 8.100 0.380 
52.25 43.25 0.290 0.330 0.380 0.005 10.000 8.200 0.503 
131.25 -28.25 0.170 0.240 0.590 0.010 13.000 5.200 1.000 
-107.25 62.75 0.240 0.330 0.430 0.014 12.000 5.100 0.409 
-100.75 67.25 0.080 0.370 0.550 0.020 11.000 5.900 0.600 
21.25 -11.25 0.290 0.300 0.410 0.010 11.000 6.200 0.521 
102.75 40.75 0.060 0.060 0.880 0.002 12.000 5.900 1.000 
-15.25 64.25 0.270 0.300 0.430 0.014 11.000 7.600 0.824 
-109.25 62.25 0.240 0.330 0.430 0.014 12.000 5.100 0.700 
-58.75 -21.25 0.230 0.400 0.370 0.013 9.000 7.200 0.400 
35.25 -6.25 0.230 0.320 0.450 0.009 11.000 7.000 0.421 
-48.75 -25.25 0.280 0.280 0.440 0.026 13.000 5.100 0.332 
-59.75 -23.25 0.230 0.400 0.370 0.013 9.000 7.200 0.415 
139.25 -28.25 0.170 0.240 0.590 0.010 13.000 5.200 0.822 
12.75 58.25 0.430 0.270 0.300 0.009 12.000 6.900 0.569 
-74.25 65.75 0.080 0.370 0.550 0.020 11.000 5.900 0.660 
108.25 75.75 0.200 0.480 0.320 0.031 17.000 6.300 0.414 
88.75 42.75 0.270 0.330 0.400 0.005 10.000 8.200 0.436 
2.25 16.75 0.050 0.050 0.900 0.003 13.000 5.700 0.466 
48.25 52.75 0.280 0.480 0.240 0.022 11.000 7.000 0.556 
-91.75 53.75 0.410 0.330 0.260 0.307 21.000 4.400 0.429 
46.25 55.75 0.200 0.220 0.580 0.008 11.000 6.200 0.595 
15.25 28.25 0.170 0.270 0.560 0.004 9.000 8.000 0.498 
23.25 14.25 0.130 0.190 0.680 0.006 11.000 6.500 0.384 
-5.75 8.75 0.220 0.190 0.590 0.008 11.000 5.100 0.365 
122.75 48.75 0.270 0.300 0.430 0.014 11.000 7.600 0.488 
30.25 -7.75 0.390 0.170 0.440 0.013 12.000 4.900 0.376 
4.25 16.25 0.050 0.050 0.900 0.003 13.000 5.700 0.689 
90.25 36.25 0.270 0.300 0.430 0.014 11.000 7.600 0.500 
